肺泡蛋白质沉积症,约40%
低眼压性青光眼,80%
大泡性角膜病变,60%
单纯疱疹病毒性角膜炎,治愈率91.2%
恶性青光眼,60%
酚类中毒,80%
共同性外斜视,90%
干燥性角结膜炎,90%
巩膜炎,98%
共同性斜视,75%
恒定性外斜视,80%
红外线伤,80%
化学性眼外伤,50%
化脓性葡萄膜炎,80%
虹膜睫状体炎,70%
后天性视网膜劈裂,70%
急性泪囊炎,70-80%
近视眼,90%
角膜病,90%
间歇性外斜视,75%
急性眼眶蜂窝织炎,75%
急性出血性结膜炎,98%
睑板腺癌,60%
晶体异位和脱位,85%
结膜干燥症,80%
角膜擦伤,80%
交感性眼炎,对症治疗为主，无法根治
急性卡他性结膜炎,90%
急性闭角性青光眼,30%
睑外翻,70%
基质性角膜炎,60%
角膜软化症,60%
急性虹膜睫状体炎,90%
眶上神经痛,70%
眶蜂窝织炎,60%
开角型青光眼,60--80%
泪腺分泌功能减退,20%
泪液分泌过多,40-50%
泪腺混合瘤,60%-80%
淋菌性结膜炎,70-80%
老年性黄斑变性,30%
流行性角结膜炎,95%-98%
绿脓杆菌性角膜溃疡,65%
麦粒肿,98%
慢性泪腺炎,40%
脉络膜裂伤,85%
麻痹性斜视,60%
脉络膜黑色素瘤,70%
慢性泪囊炎,80%
脉络膜炎,40%
慢性闭角型青光眼,65%
内隐斜,40%
泡性角结膜炎,80-90%
匐行性角膜溃疡,80-90%
泡性眼炎,60%
青光眼,60%
缺血性视神经病变,80%
屈光不正,80%
球后视神经炎,60%
青光眼睫状体炎综合征,75%
浅层点状角膜炎,75%-85%
前房积血,75%
缺血性视盘病变,40%-60%
弱视,
上隐斜,65%
沙眼,90%
视网膜静脉阻塞,75%
视网膜动脉阻塞,60%
视网膜静脉周围炎,70%
视网膜病变,60%
丝状角膜病变,80%
视网膜中央静脉阻塞,50-60%
视网膜中央动脉阻塞,55%
视网膜色素上皮炎,75%
视盘炎,0%
视网膜色素变性,目前难以完全治愈
视网膜脱离,95%
视盘水肿,60-75%
视交叉病变,60%
上睑下垂,60%
特发性葡萄膜大脑炎,60%
外层渗出性视网膜病变,0.001%
外隐斜,70%
外伤性白内障,80%
雪盲,30%
旋转隐斜,80%
霰粒肿,85%
先天性视网膜劈裂,60%
细菌性角膜溃疡,75%
先天性青光眼,54.8%
溢泪症,50--80%
隐斜视,外科手术治愈率约为85%
眼眶骨膜炎,80%
原发性共同性内斜视,70%
原发性非调节性内斜视,55-75%
原发性开角型青光眼,80%
眼眶假瘤,50-70%
远视眼,80%
原发性视网膜脱离,65%-75%
眼球突出,30%
眼球穿通伤,10%
眼内异物,60%
眼部带状疱疹,70%
眼睑皮肤弛缓症,30-50%
眼睑带状疱疹,95%
圆锥角膜,70-90%
原发性视网膜色素变性,无法治愈
眼球震颤,55%-65%
眼球破裂伤,40%
眼球内陷,60%
眼睑湿疹,60%
翼状胬肉,80%
紫外线伤,98%
中心性渗出性脉络膜视网膜炎,85%
真菌性角膜溃疡,98%
中心性浆液性脉络膜视网膜病变,55%
中毒性弱视,5%
周边葡萄膜炎,75%
真菌性角膜炎,90%
阿斯匹林不耐受三联症,85%
鼻硬结病,60%
鼻出血,98%
鼻腔异物,99%
鼻息肉,85%
鼻中隔偏曲,80%
鼻中隔血肿,80%
鼻中隔穿孔,98%
扁桃体周围脓肿,98%
鼻前庭炎,95%
鼻中隔溃疡,98%
鼻石,70%
鼻瓣区狭窄,80%
病毒性咽炎,60%
鼻窦炎,80%
鼻恶性肉芽肿,98%
白喉,70-80%
大疱性鼓膜炎,70%
耳源性脑膜炎,60%
耳后骨膜下脓肿,90%
腭咽闭合不全,70%
分泌性中耳炎,95%
过敏性鼻炎,30%
干酪性鼻炎,60%
鼓室硬化症,80%
过强反射性鼻炎,98%
颌骨骨髓炎,70%
化脓性耳廓软骨膜炎,70%
喉阻塞,60%
喉气囊肿,70%
急性扁桃体炎,100%
茎突综合征,80%
间断脉冲噪音损伤,70%
甲状舌囊肿及瘘管,40%
急性舌扁桃体炎,95%
急性化脓性乳突炎,80%
急性单纯性咽炎,95%
急性鼻咽炎,98%
急性化脓性中耳炎,95%
急性化脓性鼻窦炎,90%
急性会厌炎,85%
急性喉炎,85%
急性鼻炎,100%
结核性中耳乳突炎,70%
酒渣鼻,50--70%
口咽部粘连,80%
蓝鼓膜与胆固醇肉芽肿,86%
链球菌性咽炎,80--98%
粒性白细胞缺乏性咽峡炎,83%
面肌痉挛,90%
迷路炎,60%
美尼尔氏综合症,85%
迷路震荡,0%
迷路窗破裂,80%
弥漫性外耳道炎,60%
慢性舌扁桃体炎,98%
慢性额窦炎,60%
慢性蝶窦炎,95%
慢性单纯性咽炎,70%
慢性化脓性中耳炎,50%--70%
慢性扁桃体炎,98%。
慢性喉炎,30%-50%
慢性肥厚性鼻炎,80%
慢性单纯性鼻炎,80%
慢性咽炎,98%
面神经瘤,40%
粘连性中耳炎,85%
潜水性内耳损伤,60%
气管及食管异物,85-95%
嗜酸细胞增多性非变态反应性鼻炎,70%，易反复发病
上颌窦后鼻孔息肉,86%
鳃裂瘘管,85%
腮腺隙感染,80%
突发性聋,80%
外耳道异物,80%
萎缩性咽炎,98%
外耳道疖肿,98%
萎缩性鼻炎,80%
外耳道真菌病,90%
外耳道炎,75%
外耳湿疹,90%
先天性声带发育不良,85%
悬雍垂过长症,70%
先天性小喉,75%
先天性后鼻孔闭锁,81%
先天性喉蹼,70%
先天性喉喘鸣,80%
先天性鼻咽部狭窄及闭锁,70%
先天性鼻部皮样囊肿及瘘管,70%
先天性喉闭锁,86%
咽部异感症,75%
硬脑膜外和硬脑膜下脓肿,30%
咽血管畸形,75%
咽肌痉挛,80%
咽后壁憩室,75%
咽鼓管阻塞,80%
咽鼓管异常开放症,70%
咽侧壁憩室,80%
咽部硬结病,80%
咽部异物,90%
咽部麻风,60%
咽部狼疮,35%
咽部创伤,98%
咽部瘢痕狭窄,80%
咽角化症,55%-65%
咽后脓肿,70%
咽旁脓肿,70-80%
咽白喉,55%-65%
中耳气压伤,80%
噪声性耳聋,多数可借助助听器获得实用听力
中毒性眩晕,88%
扁平苔癣,60%
边缘性龈炎,96%
变应性口炎,98%
唇裂,60%
创伤性口炎,98%
唇病,98%
齿状突发育畸形,50%
多形红斑,70%
单纯性牙周炎,98%
腭裂,80%
肥大性龈炎,95%
氟骨症,90%
氟牙症,60%
根尖周病,98%
红斑,60%
坏死性龈口炎,90%
颌面部放线菌病,50%
颌周蜂窝织炎,98%
颌骨囊肿,98%
后牙反合,70%
颌骨癌,10%
急性颌骨骨髓炎,80%
甲状舌管囊肿与鳃裂囊肿,40%
急性化脓性腮腺炎,93%
颊间隙感染,70%
结核性溃疡,60%
口底多间隙感染,91.3%
口腔溃疡,98%
口腔扁平苔藓,40%
口腔单纯性疱疹,98%
口腔白斑病,25%-35%，易癌变
口腔念珠菌病,80%
颏下间隙感染,96%
眶下间隙感染,50-80%
开合,75%
口腔颌面部皮样、表皮样囊肿,55-65%
口腔颌面部软组织损伤,90%
膜性口炎,98%
磨损,95%
毛舌,50-60%
慢性上颌窦炎,91%
慢性筛窦炎,60%
慢性化脓性腮腺炎,95%
颞下颌关节紊乱综合征,80%
颞下间隙感染,96%
颞间隙感染,60-80%
颞骨岩部炎,60%
前牙反合,85%
青少年牙周炎,99%
龋齿,80%
前牙深覆盖,85%
舌甲状腺,40%
舌白斑,85%
锁合,85%
双颌前突,80%
深覆合,50%
舌下间隙感染,50%
上颌前突,75%
舌病,99%
四环素牙,80%
上颌后缩,95%
天疱疮,90%
楔状缺损,85%
下颌后缩,95%
下颌下隙感染,75%
牙周病,85%
牙周萎缩,70%
牙外伤,80%
牙列拥挤,75%
牙列稀疏,80%
牙髓病,80%
颜面部疖痈,70%
牙隐裂,85%
牙折,80%
遗传性乳光牙,50%
药物性牙龈增生,70%
釉质发育不全,10%
牙齿感觉过敏症,98%
咬肌间隙感染,85%
翼下颌间隙感染,80%
智齿冠周炎,80%
肝硬化男性性功能减弱综合征,45%
淋病合并症前列腺炎,80%
淋病合并症精囊炎,94%
良性前列腺增生,87%
慢性细菌性前列腺炎,90%
男性不育症,40%-60%
男性更年期综合症,20%
尿道与阴茎结核,97.8%
性欲亢进,70-80%
小阴茎,89%
阳痿,85%(一般经过有效治疗后可以缓解症状)
早泄,30%
埃里希体病,60%
艾滋病,0.001%(只能维持治疗，现在治愈率极低。)
病毒性肝炎,
包虫病,60%
巴尔通体病,20-30%
布氏杆菌病,75%
布鲁菌病,75%-85%
软产道异常性难产,80%
色汗症,30-40%
孢子丝菌病,75%-85%
硬化剂治疗引起的食管损害,70%
II型糖尿病,0%
创伤后应激障碍,65%-75%
代偿性多汗症,75%
肠道蛔虫,80%
传染性脓疱病,98%
传染性红斑,20%
肺泡-毛细血管阻滞综合征,75%
肺地丝菌病,75%
传染性软疣,60%
肺炎球菌脑膜炎,89.3%
传染性单核细胞增多,75%-85%
肺青霉病,30%--50%
传染性湿疹样皮炎,98%
肺炎克雷白杆菌肺炎,95%
单纯性疱疹,80%
肺疟疾病,65%-80%
肺损伤,32%
肺炎衣原体肺炎,60-70%
肺癌皮肤转移,40%
呼吸性细支气管炎间质肺病,80%
带状疱疹,50%
呼吸系统疾病伴发的精神障碍,65%
地方性斑疹伤寒,70%
军团菌肺炎,97%
登革热,75%
结核性葡萄膜炎,85%
单纯疱疹病毒感染症,87%
金黄色葡萄球菌脑膜炎,70%
丹毒丝菌病,80%
老年急性白血病,骨髓移植治愈率约为40%
免疫抑制药和抗癌药中毒性肾病,70%
特发性滴状色素减少症,对症治疗为主无法根治
缺血性肠绞痛,60%
特发性癫痫综合征,30%
Wegner肉芽肿伴发的葡萄膜炎,75%
小儿金葡菌性烫伤样皮肤综合征,93%
二期梅毒,1%
特发性关节痛综合征,30%
小儿肢端肥大症和垂体性巨人症,70%
特发性黄斑裂孔,外科手术治愈率约为75%
新生儿肺气漏,75-85%
特发性急性小管间质性肾炎,70%
新生儿肝脾肿大,50-70%
特发性尿钙增多症,40%-50%，多以控制症状为主
放线菌病,55%-75%
哮喘持续状态,60%-70%
副球孢子菌病,40%
小儿哮喘性肌萎缩综合征,78%
风疹,91%
特发性皮肤钙化病,75%
特发性室性心动过速,80%
肺结核,80%
休止期脱发,55%
特发性嗜酸性粒细胞增多综合征,40%
肺吸虫病,80%
腺病毒感染,90%
特发性心室颤动,50%
关节炎,55%
胸壁静脉炎,外科手术治愈率约为55%-65%
疼痛性脂肪疝,95%
锑及其化合物引起的皮肤病,40%
静脉曲张,95%以上
阻塞性睡眠呼吸暂停综合征,40%-70%(控制体重后可使70%治愈)
滑膜炎,99%
支气管哮喘,尚无特效的治疗方法，长期规范治疗可使疾病得到有效的控制，控制率可达95%
锑末沉着症,40%-70%
白大衣高血压,治愈率97%
强直型脑瘫,5%
天冬氨酰葡萄糖胺尿症,75%
窦性心律失常,95%
混合型脑瘫,目前尚不能治愈，有效治疗可以控制相关症状
铁尘肺,无法治愈，有效治疗可以控制病情
钩端螺旋体病,90%
铜绿假单胞菌感染,70%
软组织损伤,80--95%
铜绿假单胞菌性角膜炎,50--70%
多囊肝,30-60%
铜绿色假单胞菌肺炎,95%
二尖瓣和主动脉瓣的疾患,65%-75%
肾功能衰竭,60%
铜绿色假单胞菌脑膜炎,30%
回归热,85%
风湿性边缘性红斑,60%
铜中毒引起的溶血性贫血,40-60%
混合性厌氧菌感染,60%
肥胖性生殖无能综合征,无法治愈
童年情绪障碍,80%，以精神疏导治疗为主
心脏瓣膜病,外科治疗达90%以上
高血压病伴发的精神障碍,40%
黄热病,99.9%
慢性肾功能不全,无有效治疗方式
童年社会功能障碍,60%-80%
拔毛狂,70%
风湿性心脏病,80%
痛性青紫综合征,60%
头部鳞状细胞癌,本病经过手术治疗后治愈率在70%
心脏病,30%
感染性心内膜炎肾损害,70%
头皮脓疱糜烂性皮病,对症治疗为主，治愈率约为45%
肌肉痉挛,90%
冠状病毒感染,98%
黑热病,65%
脊髓炎,75%
甲亢合并妊娠,60%
支气管炎,80%
慢性附睾炎,60-70%，本病容易反复发作
头皮损伤,80%(外科手术治疗)
霍乱,10%
鲜红斑痣,90%
三尖瓣闭锁不全,外科手术治愈率约为60-80%
投掷运动,70%
心肌梗死后心包炎,60%
蔓状血管瘤,80%
透明丝孢霉病,85%
心包囊肿与心包憩室,70%
脉管畸形,60%
透明细胞汗腺腺瘤,40%
心包间皮瘤,60%
甲状腺炎,80%
透明细胞棘皮瘤,80%
甲亢眼突,80%
心包转移瘤,60%
吞噬功能缺陷病,1%
甲状腺结节,90%
胸锁关节脱位,99%
吞咽困难,30%
臀上皮神经干痛,95%
精神障碍,85%
假单胞菌感染,70%
心尖肥厚型心肌病,10%
臀位难产,50%
巴顿骨折,80%
脱水,98%
食管炎,80%
姜片虫病,70%
暴发性紫癜,30%
脱屑性红皮病,98%
视网膜炎,60%
丙型肝炎病毒感染与肾小球肾炎,经过治疗98%治愈
脱屑性间质肺炎,98%
尖锐湿疣,30%
残胃淋巴瘤,外科手术治愈率约为70%
绞架性骨折或外伤性枢椎椎弓骨折,50%
蛋白质-能量营养不良,40%
肠癌,10%
切除术后内疝,70%
蛙粪霉病,60%
胃炎,80%
胆囊结石,98%
外伤性低颅内压综合征,80%
胆源性急性胰腺炎,65%
外伤性脑脊液漏,70%
大肠平滑肌肉瘤,外科手术治愈率约为30-40%
咽炎,85%
外伤性脑膜炎,30%
非甲状腺性的病态综合征,80%
柯萨奇病毒和埃可病毒感染,90%
外伤性脑脓肿,20%
狂犬病,0.01%
外伤性脾破裂,70%
中耳炎,95%
肝结核,75%
口蹄病,57%
外伤性乳房血肿,95%
外伤性乳房脂肪坏死,90%
结膜炎,80%
皮炎,80%
外阴阿米巴病,70%
肝上皮样血管内皮细胞瘤,65%
生殖道感染,95%
肝小静脉闭塞症,65%
阴道炎,90%
淋病,90%
肝血管平滑肌脂肪瘤,治愈率约75%
外阴表皮样囊肿,90%
黄杆菌肺炎,60%
弱精,75%-85%
外阴大汗腺瘤,外科手术治愈率约为75%-85%
利斯特菌病,50%-70%
结核性宫颈炎,80%
精子畸形,60%-75%
外阴丹毒,90%
急性化脓性关节炎,55%
子宫内膜薄,85-90%
类鼻疽,40%
外阴恶性横纹肌样瘤,62%
结肠平滑肌瘤,90%
输卵管阻塞,60%
流行性脑脊髓膜炎,70%
外阴恶性颗粒细胞瘤,70%
急性细支气管炎,70%
外阴恶性淋巴瘤,65%
流行性乙型脑炎,98%
急性附睾炎,90%
黄体功能不全,80%
外阴恶性神经鞘瘤,60%
A-V综合征,80%
外阴恶性纤维组织细胞瘤,50%
酒精性脑萎缩,75%
肌张力不全型脑瘫,5%
外阴汗管瘤,85%
结肠息肉和息肉病,50%--70%
手足徐动性脑瘫,5%
外阴汗腺腺癌,60%
结缔组织增生性毛发上皮瘤,65%
共济失调型脑瘫,5%
假性尖锐湿疣,98%
外阴黑色棘皮症,65%
结直肠损伤,90%
口腔尖锐湿疣,90%
流行性斑疹伤寒,75%-85%
外阴黑色素瘤,90%，易复发
溃疡性结肠炎性关节炎,30%
外阴横纹肌肉瘤,90%，易复发
类癌综合征,60%
子宫恶性肿瘤,1%
阑尾类癌,60%
外阴滑膜肉瘤,90%，易复发
口腔血管瘤,90%
莱姆病,50%
铅中毒引起的溶血性贫血,30%--50%
外阴基底细胞癌,90%，易复发
胆管肿瘤,98%
胃肠道癌,30-40%
外阴急性蜂窝组织炎,98%
乳腺脂肪瘤,80%-90%
外阴假上皮瘤样增生,95%，易复发
消化系统疾病伴发的精神障碍,60%
子宫内膜炎,98%
外阴疖病,98%
细菌性心包炎,70%
原发性肝脂肪肉瘤,70%
宫颈炎,70%--85%
致死性家族性失眠症,
皮肤白斑,60%
外阴接触性皮炎,60%
肩峰骨折,治愈率约82%。根据研究，治疗的优良率，非手术治疗优良率为38.0%，手术治疗优良率达到91.7%
乳腺肿瘤,75%
外阴结核,80%
慢性腹泻,80%
急性肾小球肾炎,95%
外阴浸润性鳞癌,90%，易复发
流行性出血性结膜炎,94%
乳腺炎,治愈率100%
狼疮样综合征,30%
急性肾功能不全,15%
外阴卡波西肉瘤,正常免疫的患者预后较好，而免疫抑制患者预后差
链球菌坏死,85%
肾功能不全,20%
类固醇5α-还原酶2缺乏综合征,30--50%
外阴颗粒性肌母细胞瘤,50%
霉菌性尿道炎,90%
外阴克罗恩病,80%
淋菌性尿道炎,65%
慢性化脓性鼻窦炎,80%
外阴溃疡,87%
外阴淋巴管瘤,本病早发现早治疗能够得到有效治愈。一般治愈率在90%以上
浅表性胃炎,75%
母儿ABO血型不合,95%
外阴隆凸性皮肤纤维肉瘤,74%
脑血吸虫病,81%
脉管炎,75%
慢性肾小球肾炎,75%
囊虫病,60%
外阴卵黄囊瘤,治愈率76%
坏死性脉管炎,无有效治疗方式
膜增生性肾小球肾炎,80%
外阴毛囊炎,治愈率92%
慢性嗜酸性粒细胞性肺炎,40%
性功能障碍,50%
疟疾,40%
外阴梅克尔细胞癌,10%
尿毒症肺炎,40%
血精症,98%
诺卡放线菌病,40%
尿布皮炎,99%
皮肤念珠菌病,100%
外阴蛲虫病,70-80%
尿道黏膜脱垂,60%
葡萄球菌感染,98%
外阴黏膜白斑,30%
膀胱移行细胞癌,10%
外阴佩吉特病,60%
细菌性前列腺炎,85%-95%
膀胱白斑病,30%
外阴皮肤脂溢性皮炎,98%
急性细菌性前列腺炎,85%-95%
溶血性链球菌性坏疽,75%
外阴平滑肌瘤,75%
肾融合,55%
外阴平滑肌肉瘤,本病不能得到治愈，只能缓解
肾静脉血栓,65%
非淋性前列腺炎,85%-95%
输尿管脱垂,90%
全身性念珠菌病,80%
外阴前庭炎,60-80%
肾钙乳,70%
特异性前列腺炎,85%
潜伏梅毒,90%
肾实质性高血压,60%，多以控制蛋白尿和高血压为主
外阴乳头状瘤,70%
肾盏积水,85%
外阴软纤维瘤,80%
精神病,50%
外阴色素痣,100%
肾盂输尿管连接部梗阻,80%
药物性哮喘,45%
Q热,60%-70%
肾性氨基酸尿,65%（尚无根治办法）
肾异位血管及副血管,60%
外阴上皮样肉瘤,40%
肾动脉瘤,65%-75%(外科手术治疗)
肉毒中毒,79.4%
外阴烧伤、烫伤和化学损伤,70%
糖尿病所致脊髓病,45%
念珠龟头炎,80%
外阴神经鞘瘤,75%
溶组织内阿米巴病,50%
微小病毒感染,70%
外阴神经纤维瘤,75%
小儿原发性纤毛运动障碍,85%
软下疳,85%
外阴神经性皮炎,80%
疱疹,95%
小儿慢性肾小球肾炎,70%
外阴湿疹,80%
混合血管瘤,75%
小儿急性肾小球肾炎,90%
外阴天疱疮,60%
毛细血管瘤,75%
原发性心脏横纹肌肉瘤,80%
外阴痛,90%
化脓性乳腺炎,98%
外阴纤维瘤,80%
隐匿阴茎,80%
生殖器疱疹,70%
外阴纤维肉瘤,30-40%
耳真菌病,60%
乳腺导管瘤,80%
外阴腺鳞癌,10%
肝豆状核变性伴发的精神障碍,预后不好
牙周炎,95%
伤寒,80%
外阴腺泡状软组织肉瘤,65%
脑垂体功能异常伴发的精神障碍,60%
三期梅毒,10%
角膜炎,70%-80%
外阴象皮肿,80%
脑膨出,30%
丝虫病,85%
结肠炎,95%以上(小于5%发展成为慢性，迁延不愈。)
外阴血管瘤,99%
脑梗死,60%
斜视,80--90%
外阴血管外皮细胞瘤,60-70%
糖尿病性肾病,10%
唇炎,87%
外阴血吸虫病,60%
外阴银屑病,70-80%
小儿结核性心包炎,治愈率84%
牙龈炎,98%
外阴硬化性苔藓,对症治疗为主，治愈率约为40%
重症肌无力样综合征,60%
伤寒与副伤寒,98%
闭经溢乳综合征,30%
喉炎,90%
水痘,95%
外阴尤因肉瘤,73%
睾丸癌,40%
成人斯蒂尔病,60%
外阴疣状癌,75%
垂体卒中,75%
肝癌,5%(早期肝癌手术切除后一年生存率达80%以上，五年生存率达50%以上。)
鼠疫,55%
外阴疣状黄瘤,72%
带状角膜病变,80%
胸膜炎,80--90%
绦虫病,70%
外阴早期浸润性鳞癌,60%
天花,90%
甲状腺激素抵抗综合征,25%，多以对症治疗为主
阑尾炎,100%(经过抗炎手术的等方式治疗后都能痊愈。)
外阴脂肪瘤,96%
酒精伴发的精神障碍,60%
炭疽病,75%
肾虚,80%
外阴脂肪肉瘤,预后好于其他部位的脂肪肉瘤，分化好的脂肪肉瘤5年生存率为80-88%，而分化差者仅为20-56%
巨人症与肢端肥大症,40%
头癣,95%
心内膜炎,70-80%
外阴中肾管囊肿,65%
甲状腺相关眼病,65%
兔热病,65%
血管炎,70%
外阴肿瘤合并妊娠,60%
甲状腺微小癌,20%
胃穿孔,85%
弯曲菌感染,80%
外阴转移性癌,45%
继发性铁粒幼细胞性贫血,65%
慢性糜烂性胃炎,不详
弯曲菌性肠炎,70%
外源性光感性皮炎,80%
假性醛固酮减少症,40%
网状青斑,40%
先天性巨细胞包涵体病,45%
继发性女阴过度角化,10%
网状青斑和青斑性血管炎,55%-65%
微囊肿腺癌,60%
颈部淋巴结转移癌,40%
慢性乳突炎,85%-95%
微小病变型肾病,70-80%
夸赛纳森林病,80%
淋巴瘤细胞白血病,75%（治疗有效率可达70%～85%，完全缓解率仅为40%左右）
微小度数斜视,85%
上呼吸道感染,98%
Usher综合征,15%
微小核糖核酸病毒性角膜炎,78%
慢性黏膜皮肤念珠菌病,50%
结膜充血,100%
微血管病性溶血性贫血,30%
鞍上生殖细胞瘤,60-80%
脾大,90%
慢性乳腺炎,98%
韦格内肉芽肿,40%
妊娠合并宫颈癌,60%
韦格纳肉芽肿,86%
嗜碱性粒细胞白血病,75%
心理障碍,80%
韦格纳肉芽肿性巩膜炎,75%
糖尿病心肌病,60%
韦尼克脑病,30--50%
胸腺囊肿,80%
血吸虫病,90%
围绝经期功能失调性子宫出血,70%
猩红热,85%
矮小症,80%
亚急性结节性游走性脂膜炎,70%
围绝经期前后的外阴白色病变,10%
旋毛虫病,70%
原发性乳腺恶性淋巴瘤,50%
新疆出血热,80%
社交恐惧症,98%
原发性甲状旁腺功能亢进症与肾病,70%
围绝经期综合征,60%
白血病伴发的精神障碍,5%
急性胆管炎,85%-95%
围生期心肌病,30%
出血性脑梗死,50%
糜烂性胃炎,急性类型多可治愈，慢性者治愈较困难
围术期伴发的精神障碍,85-90%
第Ⅰ型脊髓血管畸形,外科手术治愈率约60%
维生素A过多病,85-95%
瘢痕性睑内翻,90%
多发性骨髓瘤病肾病,40%
Jessner淋巴细胞浸润,40%，多以对症治疗为主
神经性头痛,80%
办公室综合症,80%
氨气中毒,80%
维生素B2缺乏病,85%
急性海绵窦栓塞性静脉炎,70%
衣原体感染症,85%
贫血伴发的精神障碍,95%
尾神经丛痛,40-60%
肾绞痛,80%
厌氧菌感染,90%
尾痛症,60%
缺铁性吞咽困难,72%
泌尿系结石,95%以上
隐球菌病,60-70%
溶血尿毒症综合征,50%
尾蚴性皮炎,75%
芽生菌病,50%
特发性震颤,55%-65%
异尖线吸虫蚴移行症,40%
心血管疾病,是不能治愈的疾病，只能长期服药维持
委内瑞拉马脑炎,40%
阴虱病,90%
铁线虫病,80%
萎缩纹,40%
肾脓肿,70-80%
血小板无力症,10%
未分化结缔组织病,对症治疗为主，无法根治
包涵体肌炎,40%
血友病甲,需终身治疗
胃肠道癌皮肤转移,60%
鼻部囊肿,60%
血管炎前期综合征,50%
胃肠道癌转移卵巢,60%
遗传性压力易感性周围神经病,对症治疗为主，无法根治
一期梅毒,65%
乳腺囊肿,100%
胃恶性淋巴瘤,20%
叶酸缺乏症,治愈率87%
医院内感染,70%
肾性脑病,80%
胃反应性淋巴增生,65%
营养障碍性多发性神经病,50-70%
鼻外伤,70%
胃隔膜,60%
恙虫病,75%-85%
真性小眼球,60%
胃畸胎瘤,99%，易恶变
干燥综合征神经系统损害,60%
羊痘,30%
耳鸣,60%
胃急性扩张,97%
类风湿性关节炎的肾损害,10%
肺纤维化,IPF诊断后的平均生存期仅2.8年，死亡率高于大多数肿瘤，IPF被称为一种“类肿瘤疾病”。
硬皮病食管,50%
胃溃疡出血,治愈率96%
隐孢子虫病,65%
脑水肿,70%
胃溃疡性穿孔,92%
闭合性颅脑损伤,75%
联合免疫缺陷病,20%
组织胞浆菌病,30%
排卵障碍,95%
胃类癌瘤,40%
慢性血源性骨髓炎,80%
偏瘫,70-80%
梅克尔憩室,60%
扁桃体结石,98%
胃内异物,85-90%
慢性盆腔疼痛,95%
中间型链球菌感染,99.3%
胃黏膜脱垂,75%
肾阳虚,80%
查加斯病,65%
着色真菌病,85%
胃石症,100%
脑外伤,70%
蝶骨嵴脑膜瘤,65%
足菌肿,70%
胃食管反流病,70%
高血压性心肌病,对症治疗为主，无法彻底根治
变异性哮喘,60%
战壕热,70-80%
胃脂肪瘤,79%
高血压脑出血,79%
肾阴虚,75%-85%
真菌过敏症,70%
窝状角质松解症,30--50%
脑血管畸形,80%
脑膜炎奈瑟菌肺炎,97%
自由生活阿米巴感染,85%
沃纳综合征,60%
肾肿瘤,80%
胆囊胆固醇沉着症,30--40%
志贺菌病,85%
并指畸形,98%
法布里病,40%
无功能垂体腺瘤,30%
渗出性中耳炎,85%-95%
急性颈部软组织损伤,80%
剥脱性皮炎型药疹,70%
无功能性甲状旁腺囊肿,75%
异物肉芽肿,75%
急性肺水肿,90%
无汗症,75%
急性根尖牙周炎,85%-95%
胰腺肉瘤,30%
无机碱皮肤损伤,95%
扁平疣,98%
无脉络膜症,无法根治，有效治疗可以控制病情
白癜风,10%(早期白癜风是可以治愈的)
胰腺分裂,60%
无排卵型功能失调性子宫出血,治愈率约为75%
非细菌性血栓性心内膜炎,95%
白发症,20%
无色性色素失调症,55-65%
工业毒物中毒性周围神经病,70%
失眠抑郁,70%
无痛性甲状腺炎,60%
男性青春期发育延迟,75%
斑秃,60%
无痛性心肌梗死,30%
慢性根尖牙周炎,85%-95%
无症状型心肌缺血,80%
女性尿瘘,80%
食道溃疡,98%
无症状性脑梗死,80%
前葡萄膜炎,75%
蜈蚣蜇伤,80%
脑干梗塞,55%
前列腺异位,50-70%(外科手术治疗)
X综合征,无法治愈，有效治疗可以控制病情
急性冠脉综合征,是不能治愈的疾病，必须终生服药
垂体腺瘤,70%
病毒性结膜炎,85%-95%
前列腺结石,60-70%
小儿扁脸关节脱位足异常综合征,30%
藏毛囊肿,90%
西伯利亚立克次体斑疹热,85%
肾上腺意外瘤,70%
视网膜分支动脉阻塞,80%
结肠黑变病,80%
牙髓炎,80%
手足综合症,98%
西方马型脑炎,75%
骨质软化症与佝偻病,40%
急性牙髓炎,95%以上
维生素D依赖性佝偻病,60%
慢性牙髓炎,85%-95%
系统性血管炎,60%
西尼罗河热,65%
脊柱畸形,85%
α1抗胰蛋白酶缺乏性肝病,85%
睑缘炎,98%
痤疮,85%
皮肤脑膜瘤,20%
西瓦特皮肤异色病,75%
大疱性类天疱疮,60%
脑动脉硬化伴发的精神障碍,60%
希尔德病,10%
结核性盆腔炎,80%
丹毒,90%
鼻咽癌的眼部病变,10%
锡尘肺,60%
戈登综合征,以控制症状为主，根治困难
膝关节脱位,98%
甲状腺功能减低所致贫血,85%
内分泌性高血压,70%
膝外侧韧带损伤,98%
口腔癌皮肤转移,30%
系统性红斑狼疮伴发的精神障碍,50%
酒精性股骨头坏死,无法彻底治愈
卵巢残余综合征,80%
系统性红斑狼疮伴发的葡萄膜炎,80%
弥漫性婴儿纤维瘤病,外科手术治愈率约为55-65%
病毒性上呼吸道感染,80%
系统性红斑狼疮所致脊髓病,60%
输卵管畸形,90%
皮肤白喉,90%
宫颈妊娠,95%
冻疮,80%
肱动脉损伤,70%
系统性血管炎所致神经损害,40%
慢性外耳道炎,多数药物治疗可治愈
卵巢黏液性肿瘤,60%
细菌协同性坏疽,65%
