肺泡蛋白质沉积症,约3个月
流行性斑疹伤寒,8-12周
外阴黑色素瘤,3个月
溃疡性结肠炎性关节炎,3个月
外阴横纹肌肉瘤,3个月
类癌综合征,2-4月
子宫恶性肿瘤,1-3个月
阑尾类癌,3个月
外阴滑膜肉瘤,3个月
口腔血管瘤,2-4周
莱姆病,3个月
铅中毒引起的溶血性贫血,3--10周
外阴基底细胞癌,3-6个月
胆管肿瘤,1-3个月
胃肠道癌,1-2个月
外阴急性蜂窝组织炎,3周
乳腺脂肪瘤,1个月
外阴假上皮瘤样增生,3个月
消化系统疾病伴发的精神障碍,30天
子宫内膜炎,7-30天
外阴疖病,3周
细菌性心包炎,10-30天
原发性肝脂肪肉瘤,3个月
宫颈炎,1-3个月
致死性家族性失眠症,120天(终身治疗)
皮肤白斑,1-3个月
外阴接触性皮炎,8-12周
肩峰骨折,90天
乳腺肿瘤,1月-数年
外阴结核,6个月
慢性腹泻,7-14天
急性肾小球肾炎,8-24周
外阴浸润性鳞癌,3个月
流行性出血性结膜炎,2至3周
乳腺炎,治疗周期7-30天
狼疮样综合征,1-3个月
急性肾功能不全,1-3个月
外阴卡波西肉瘤,1-3年
链球菌坏死,4-6周
肾功能不全,1-3年
类固醇5α-还原酶2缺乏综合征,1--3个月
外阴颗粒性肌母细胞瘤,3个月
霉菌性尿道炎,7-30天
外阴克罗恩病,30天
淋菌性尿道炎,15-30天
慢性化脓性鼻窦炎,120天
外阴溃疡,7天
外阴淋巴管瘤,周期一般在30天
浅表性胃炎,1-6个月
母儿ABO血型不合,3-6个月
外阴隆凸性皮肤纤维肉瘤,30天
脑血吸虫病,60天
脉管炎,8-12周
慢性肾小球肾炎,3-6月
囊虫病,1个月
外阴卵黄囊瘤,手术治疗周期7天
坏死性脉管炎,终身间歇性对症治疗
膜增生性肾小球肾炎,3-6月
外阴毛囊炎,治疗周期7天
慢性嗜酸性粒细胞性肺炎,3个月
性功能障碍,1--4周
疟疾,3个月
外阴梅克尔细胞癌,2--6个月
尿毒症肺炎,7-21天
血精症,2-4周
诺卡放线菌病,3个月
尿布皮炎,10天
皮肤念珠菌病,7-14天
外阴蛲虫病,1-3个月
尿道黏膜脱垂,7-10天
葡萄球菌感染,7天
外阴黏膜白斑,3个月
膀胱移行细胞癌,1--6个月
外阴佩吉特病,3-6个月
细菌性前列腺炎,7-14天
膀胱白斑病,1-3个月
外阴皮肤脂溢性皮炎,2-4周
急性细菌性前列腺炎,7-14天
溶血性链球菌性坏疽,30-60天
外阴平滑肌瘤,1-2周
肾融合,1-3月（部分病例需多次手术矫正）
外阴平滑肌肉瘤,终身治疗
肾静脉血栓,45天
非淋性前列腺炎,7-14天
输尿管脱垂,30天
全身性念珠菌病,20天
外阴前庭炎,6-8周
肾钙乳,2-4月
特异性前列腺炎,7-14天
潜伏梅毒,3-6月
肾实质性高血压,1-3年
外阴乳头状瘤,3-5周
肾盏积水,2-4月
外阴软纤维瘤,3-6周
精神病,7-90天
外阴色素痣,1周
肾盂输尿管连接部梗阻,10天-30天
药物性哮喘,1-3个月
Q热,3-6个月
肾性氨基酸尿,70天
肾异位血管及副血管,2-4周
外阴上皮样肉瘤,1-2年
肾动脉瘤,6-8周
肉毒中毒,15天
外阴烧伤、烫伤和化学损伤,3-6月
糖尿病所致脊髓病,1-2个月
念珠龟头炎,7-30天
外阴神经鞘瘤,2-4周
溶组织内阿米巴病,1-2个月
微小病毒感染,1-3个月
外阴神经纤维瘤,2--6周
小儿原发性纤毛运动障碍,1-3月
软下疳,15--30天
外阴神经性皮炎,1-3周
疱疹,1-3个月
小儿慢性肾小球肾炎,1月至数年不等
外阴湿疹,2-4周
混合血管瘤,1～18月
小儿急性肾小球肾炎,2-3周
外阴天疱疮,3周～6月
毛细血管瘤,6-12月
原发性心脏横纹肌肉瘤,1-3个月
外阴痛,7天
化脓性乳腺炎,7天-数月
外阴纤维瘤,2-4周
隐匿阴茎,5-6月
生殖器疱疹,10-30天
外阴纤维肉瘤,1-2年
耳真菌病,1-2个月
乳腺导管瘤,2-4周
外阴腺鳞癌,30天
肝豆状核变性伴发的精神障碍,一年以上
牙周炎,1-3个月
伤寒,约2周
外阴腺泡状软组织肉瘤,3个月
脑垂体功能异常伴发的精神障碍,3个月
三期梅毒,3-6月
角膜炎,10天-6个月
外阴象皮肿,2-6周
脑膨出,30-60天
丝虫病,1-3个月
结肠炎,1周
外阴血管瘤,3-6周
脑梗死,1-2年
斜视,7--30天
外阴血管外皮细胞瘤,8-12周
糖尿病性肾病,30天
唇炎,7天
外阴血吸虫病,3周
外阴银屑病,1-3年
小儿结核性心包炎,270天
牙龈炎,7-14天
外阴硬化性苔藓,终身间歇性对症治疗
重症肌无力样综合征,3-6月
伤寒与副伤寒,1-2周
闭经溢乳综合征,30天
喉炎,1-2个月
水痘,7-14天
外阴尤因肉瘤,40天
睾丸癌,1-3个月
成人斯蒂尔病,1-3个月
外阴疣状癌,1-2周
垂体卒中,4-8月
肝癌,1-6个月
鼠疫,2-4月
外阴疣状黄瘤,1-2个月
带状角膜病变,30-60天
胸膜炎,10-30天
绦虫病,3-7天
外阴早期浸润性鳞癌,60天
天花,1-3个月
甲状腺激素抵抗综合征,终身间歇性治疗
阑尾炎,7天
外阴脂肪瘤,3周
酒精伴发的精神障碍,10-30天
炭疽病,1-3个月
肾虚,10-30天
外阴脂肪肉瘤,14-28天
巨人症与肢端肥大症,3个月
头癣,1-6月
心内膜炎,3-6个月
外阴中肾管囊肿,7-14天
甲状腺相关眼病,10-15天
兔热病,1-3周
血管炎,7-21天
外阴肿瘤合并妊娠,30天
甲状腺微小癌,3-6月
胃穿孔,2-8周
弯曲菌感染,7—10天
外阴转移性癌,3-6个月
继发性铁粒幼细胞性贫血,1-3个月
慢性糜烂性胃炎,2-8周
弯曲菌性肠炎,1-2周
外源性光感性皮炎,7-10天
假性醛固酮减少症,1-3个月
网状青斑,1-3年
先天性巨细胞包涵体病,2-4周
继发性女阴过度角化,30天
网状青斑和青斑性血管炎,1-3个月
微囊肿腺癌,3-6月
颈部淋巴结转移癌,3个月
慢性乳突炎,7-14天
微小病变型肾病,6-8个月
夸赛纳森林病,1-3月
淋巴瘤细胞白血病,终身间歇性治疗
微小度数斜视,1-3年
上呼吸道感染,7-30天
Usher综合征,3-6个月
微小核糖核酸病毒性角膜炎,1-3个月
慢性黏膜皮肤念珠菌病,2--6周
结膜充血,1-3个月
微血管病性溶血性贫血,1-2个月
鞍上生殖细胞瘤,3-6个月
脾大,180天
慢性乳腺炎,1-3个月
韦格内肉芽肿,3个月
妊娠合并宫颈癌,1-3个月
韦格纳肉芽肿,3-6个月
嗜碱性粒细胞白血病,3-5年
心理障碍,1-3年
韦格纳肉芽肿性巩膜炎,2-4周
糖尿病心肌病,3-6个月
韦尼克脑病,根据不同情况，一般1--6个月
胸腺囊肿,3周--2月
血吸虫病,30天
围绝经期功能失调性子宫出血,3-6个月
猩红热,2-4周
矮小症,1-3个月
亚急性结节性游走性脂膜炎,30天
围绝经期前后的外阴白色病变,30天
旋毛虫病,1-2个月
原发性乳腺恶性淋巴瘤,4月左右
新疆出血热,1-2周
社交恐惧症,1-3个月
原发性甲状旁腺功能亢进症与肾病,3-6月
围绝经期综合征,30天
白血病伴发的精神障碍,需要终身治疗
急性胆管炎,7-14天
围生期心肌病,10-30天
出血性脑梗死,1-2个月
糜烂性胃炎,2-8周
围术期伴发的精神障碍,1-2周
第Ⅰ型脊髓血管畸形,6-8个月
维生素A过多病,3-6个月
瘢痕性睑内翻,2-4周
多发性骨髓瘤病肾病,3个月
Jessner淋巴细胞浸润,1-3个月
神经性头痛,1-3个月
办公室综合症,30天
氨气中毒,2-4周
维生素B2缺乏病,3-6个月
急性海绵窦栓塞性静脉炎,2-4个月
衣原体感染症,3-6周
贫血伴发的精神障碍,4-6月
尾神经丛痛,1-2年
肾绞痛,7-14天
厌氧菌感染,7-14天
尾痛症,1-3个月
缺铁性吞咽困难,10天-20天
泌尿系结石,2-4周
隐球菌病,3-6个月
溶血尿毒症综合征,3-6个月
尾蚴性皮炎,1-3个月
芽生菌病,2-3周
特发性震颤,4-6个月
异尖线吸虫蚴移行症,3-6个月
心血管疾病,终身治疗
委内瑞拉马脑炎,1个月
阴虱病,7天
铁线虫病,2-4月
萎缩纹,3个月
肾脓肿,1-3个月
血小板无力症,需要终身治疗
未分化结缔组织病,终身间歇性治疗
包涵体肌炎,1-2年
血友病甲,需终身治疗
胃肠道癌皮肤转移,3-6个月
鼻部囊肿,1-3个月
血管炎前期综合征,2-4个月
胃肠道癌转移卵巢,2-3个月
遗传性压力易感性周围神经病,终身间歇性治疗
一期梅毒,3-6个月
乳腺囊肿,1-3个月
胃恶性淋巴瘤,1-3个月
叶酸缺乏症,30天
医院内感染,7-10天
肾性脑病,1-3个月
胃反应性淋巴增生,4-6个月
营养障碍性多发性神经病,3-6个月
鼻外伤,一周
胃隔膜,1-3个月
恙虫病,6-8周
真性小眼球,2-4个月
胃畸胎瘤,15-30天
干燥综合征神经系统损害,3-6月
羊痘,2个月
耳鸣,7-14天
胃急性扩张,7天
类风湿性关节炎的肾损害,需长期服药治疗
肺纤维化,急性多于6个月内死于呼吸循环衰竭。慢性型平均生存时间为3.2年。
硬皮病食管,1-3个月
胃溃疡出血,急性出血内镜可立即止血，溃疡愈合需4-8周
隐孢子虫病,1-3个月
脑水肿,3-6个月
胃溃疡性穿孔,10-30天
闭合性颅脑损伤,1-2个月
联合免疫缺陷病,1-3个月
组织胞浆菌病,1-3个月
排卵障碍,3-6个月
胃类癌瘤,2-4月
慢性血源性骨髓炎,1-2个月
偏瘫,半年到一年
梅克尔憩室,2-4周
扁桃体结石,2-4周
胃内异物,2-4周
慢性盆腔疼痛,3-6个月
中间型链球菌感染,7天
胃黏膜脱垂,1-3个月
肾阳虚,10-30天
查加斯病,1-3个月
着色真菌病,3-6周
胃石症,1周
脑外伤,14天--1个月
蝶骨嵴脑膜瘤,8-12周
足菌肿,2-3个月
胃食管反流病,14-30天
高血压性心肌病,4-12个周
变异性哮喘,1周
战壕热,2-4周
胃脂肪瘤,3-6周
高血压脑出血,需要终身治疗
肾阴虚,1-3个月
真菌过敏症,1-3个月
窝状角质松解症,14--30天
脑血管畸形,2-5周
脑膜炎奈瑟菌肺炎,14天
自由生活阿米巴感染,2个月
沃纳综合征,1-3个月
肾肿瘤,2-4个月
胆囊胆固醇沉着症,2--8周
志贺菌病,2-4周
并指畸形,2-4周
法布里病,1-2个月
无功能垂体腺瘤,1-2个月
渗出性中耳炎,7-14天
急性颈部软组织损伤,1-2个月
剥脱性皮炎型药疹,7-14天
无功能性甲状旁腺囊肿,7-21天
异物肉芽肿,2-4周
急性肺水肿,根据不同情况，一般是7-14天
无汗症,3-5月
急性根尖牙周炎,7-20天
胰腺肉瘤,2-4个月
无机碱皮肤损伤,3-6周
扁平疣,28--42天
无脉络膜症,终身间歇性治疗
白癜风,1-3个月
胰腺分裂,2-3个月
无排卵型功能失调性子宫出血,1-3个月
非细菌性血栓性心内膜炎,2-4月
白发症,3-6个月
无色性色素失调症,1-3年
工业毒物中毒性周围神经病,3-6个月
失眠抑郁,6个月
无痛性甲状腺炎,2-3年
男性青春期发育延迟,1-2年
斑秃,10-30天
无痛性心肌梗死,3-6周
慢性根尖牙周炎,7-14天
无症状型心肌缺血,3-6月
女性尿瘘,2-4月
食道溃疡,1-3个月
无症状性脑梗死,1-3个月
前葡萄膜炎,1-2个月
蜈蚣蜇伤,7--14天
脑干梗塞,1-3个月
前列腺异位,3-6个月
X综合征,终身治疗
急性冠脉综合征,终身服药治疗
垂体腺瘤,1-2个月
病毒性结膜炎,7-14天
前列腺结石,4-8周
小儿扁脸关节脱位足异常综合征,4周
藏毛囊肿,2-4周
西伯利亚立克次体斑疹热,2-4月
肾上腺意外瘤,1-3个月
视网膜分支动脉阻塞,2-4周
结肠黑变病,1-3个月
牙髓炎,2月
手足综合症,2-4周
西方马型脑炎,1年
骨质软化症与佝偻病,3个月
急性牙髓炎,2周
维生素D依赖性佝偻病,2-4周
慢性牙髓炎,7-14天
系统性血管炎,10-15天
西尼罗河热,2个月
脊柱畸形,1-3个月
α1抗胰蛋白酶缺乏性肝病,2-3月
睑缘炎,2-4周
痤疮,1-2个月
皮肤脑膜瘤,1-3个月
西瓦特皮肤异色病,2-4月
大疱性类天疱疮,14-30天
脑动脉硬化伴发的精神障碍,30天
希尔德病,1-3个月
结核性盆腔炎,1-3个月
丹毒,7-10天
鼻咽癌的眼部病变,1-3个月
锡尘肺,3-6月
戈登综合征,大部分需要终身用药控制症状
膝关节脱位,2-4周
甲状腺功能减低所致贫血,3-6个月
内分泌性高血压,三月至两年
膝外侧韧带损伤,2-4周
口腔癌皮肤转移,2-3个月
系统性红斑狼疮伴发的精神障碍,1-3个月
酒精性股骨头坏死,终身间歇性对症治疗
卵巢残余综合征,2-4月
系统性红斑狼疮伴发的葡萄膜炎,2-4月
弥漫性婴儿纤维瘤病,3-6个月
病毒性上呼吸道感染,7-30天
系统性红斑狼疮所致脊髓病,3-6月
输卵管畸形,1-3个月
皮肤白喉,2-4月
宫颈妊娠,30天
冻疮,7--14天
肱动脉损伤,1-7天
系统性血管炎所致神经损害,3个月
慢性外耳道炎,1个月
卵巢黏液性肿瘤,15-30天
细菌协同性坏疽,3-6个月
酒精性脂肪肝,1-3个月
阿米巴性宫颈炎,7-14天
细菌性阴道病,7-30天
鹅掌风,2-4周
开放性颅脑损伤,1-3个月
卵巢巧克力囊肿破裂,伴有贫血者需2-3个月
蜂螫伤,5-14天
病毒性胃肠炎,1-2个月
下尺桡关节脱位,1-2个月
蜂窝织炎,2-4周
卵巢支持-间质细胞瘤,4-8周
慢性中耳炎,7-30天
下疳样脓皮病,4-8周
痱子,7-14天
慢性髓细胞白血病,需要终身治疗
空巢综合症,1-3个月
下腔静脉后输尿管,8-12周
妊娠高血压疾病,3-6个月
老年性睑外翻,2-4周
子宫复旧不全,7-14天
妊娠合并肺栓塞,1-3个月
不孕不育,3-12个月
下丘脑错构瘤,1-3月
老年性哮喘,3-6个月
下丘脑多汗症,终身间歇性治疗
妊娠合并甲状旁腺功能减退,1-3个月
副牛痘,1-3个月
输卵管妊娠流产,7-30天
下肢动脉硬化闭塞症,10-30天
妊娠合并肠梗阻,4-6周
光感型药疹,3-6周
慢性细菌性痢疾,7-30天
结核性脑膜炎,需终身服药治疗
下肢交通静脉瓣膜关闭不全,3-6个月
草莓状血管瘤,1-3个月
固定性药疹,2-4个月
精神发育迟缓,1-3个月
下肢静脉曲张,21天
肠痉挛,2--7天
肝硬化性肾损害,3-6个月
下肢静脉血栓形成,1-2个月
乳突炎,2周
夏伊-德雷格综合征,1-3年
淋病性关节炎,1-2个月
抽动症,1-3个月
先天性半侧肥大,1-3个月
良性头部组织细胞增生症,2-6周
先天性肠闭锁,2-4月
慢性纤维性甲状腺炎,10-30天
青春前期牙周炎,2-4周
尿道综合征,2-4月
花斑癣,10-30天
先天性大疱性鱼鳞病样红皮病,3-6个月
黄褐斑,1-3个月，也有部分患者无法消除黄褐斑
艾滋病人的急性阑尾炎,2-4周
先天性胆总管囊肿,14天-1个月
病毒性脑膜炎,1-2个月
复张性肺水肿,2-4周
先天性短食管,10天
传染性单核细胞增多症,1-2个月
出血性脑中风,3个月
先天性肺动静脉瘘,1-3个月
地方性甲状腺肿,3-6月
青春期厌食症,2-4周
核黄素缺乏病,1个月
先天性肺发育不全,7-14天
腹外疝,2-4月
先天性副肌强直症,3-6个月
肝纤维板层癌,15天-1个月
结核性苔藓,12个月以上
先天性副舟骨,30天
急性脓肿,4-8周
先天性腹壁肌肉发育不良,10天
唇癌,1-3个月
先天性肝内胆管囊状扩张症,1-3个月
黑色棘皮症,多需终身间歇性对症治疗
钙化性肌腱炎,1-3个月
先天性肝囊肿,2-4周
脑真菌性肉芽肿,1-3个月
甲癣,2-4周
色斑,7-30天
先天性肝纤维化,终身间歇性治疗
伤寒性心肌炎,1-3个月
色素性痒疹,1-3个月
先天性感觉性神经病,1-3个月
伤口肉毒症,6-12周
大脑萎缩,3-6个月
先天性肛门直肠畸形,2--6周
肛肠息肉,1-6月
马尔堡病毒病,3个月
先天性睾丸发育不全,1周
慢性牙周炎,7-30天
陶瓷样胆囊,1-2个月
甲沟炎,20天
先天性厚甲症,1-3年或更长
胆管结石,1-4周
血吸虫病与肝胆疾病,1-3个月
先天性环状束带,4周
肛门异物感,7-30天
剥脱综合征,1-3个月
先天性肌强直,1-6个月
面红和面红恐惧症,7-14天
先天性肌缺如,1-3个月
胆管炎,1-3个月
先天性巨大色素痣,1-12个月
高位截瘫,3-6个月
毛发囊肿,1个月
脓毒症,2-4周
甲真菌病,3-7周
先天性巨输尿管,3-6个月
屏幕脸,30天
麻风性角膜病变,8-12周
先天性髋关节外展挛缩和骨盆倾斜,3-6个月
高血压性心脏病,终生服用药物治疗
先天性梅毒,1-3月
低钙血症,7-30天
先天性囊状腺样畸形,1-3个月
高血压眼病,1-3个月
甲状腺功能亢进性肝病,需终身服药治疗
先天性食管狭窄,1-2月
膀胱膨出,2-4周
系统性红斑狼疮性巩膜炎,3-6个月
高原病,根据不同病情而定，一般是1-2个月
先天性食管重复,1-3个月
细粒棘球蚴病,10天
低颅压综合征,3-6个月
接触性皮炎,3周
疲劳性骨折,1-3个月
靶样含铁血黄素沉积性血管瘤,1-3个月
先天性胃出口梗阻,1-3个月
结肠阿米巴,6个月
睾丸畸形,2-4周
先天性无虹膜,1-6个月
疥疮,10天
青少年癫痫,1-3个月
先天性膝关节脱位,3-6个月
造口旁疝,3-6个月
睾丸鞘膜积液,1周
先天性小肠闭锁和肠狭窄,1-3周
皮肌炎与多发性肌炎,1-2个月
寻常型天疱疮,2-4个月
暗色丝孢霉病,3个月
毛发红糠疹,2-3周
先天性斜颈,3-6月
电解质紊乱,7-30天
烧伤败血症,7-14天
毛发上皮瘤,1-3个月
根尖脓肿,7-30天
面部粟粒性狼疮,14--30天
宫颈微小型浸润癌,2-4月
免疫性不孕,7-30天
先天性心包缺如或缺损,4-8周
麻疹样红斑型药疹,5-7天
条纹状苔藓,3-5年
先天性性联无γ-球蛋白血症,终身间歇性治疗
宫角妊娠,7-30天
玫瑰糠疹,7-10天
先天性胸腹裂孔疝,3-6个月
遗传性乳腺癌-卵巢癌综合征,30天
牙斑,3个月
毛囊炎,7-10天
白塞病性巩膜炎,15-30天
先天性胸骨后膈疝,1-3个月
蝶窦炎,2-4周
麻风病,2-4年
先天性血管萎缩性皮肤异色症,3个月
白血病肾损害,3个月
尿潴留,5--10天
麻疹,3-6月
先天性眼球震颤,3周
白血病视网膜病变,120天
空调病,5-10天
女子颜面黑变病,1-3个月
败血症肾损害,30天
先天性再生障碍性贫血,3-6个月
口炎,7-10天
脓肿,5-7天
先天性支气管肺囊肿,2-3个月
斑状白化病,终身间歇性治疗
脓疱型银屑病,7-30天
脓疱疮,14天
先天性支气管囊肿,10-30天
斑状萎缩,3-6个月
显微型多血管炎,2-4个月
动脉栓塞,30天
线粒体病,1-3个月
瘢痕癌,1--6个月
牛皮癣,1-3年，易反复发病
肋软骨炎,1-3个月
板层状鱼鳞病,6-12周
线粒体脑肌病,1-3年
风湿病,1-6个月
皮样囊肿,1-2周
半月线疝,1-2个月
线状IgA大疱性皮肤病,3-6个月
颅裂,1-2个月
腺病毒性肠炎,7-10天
葡萄球菌性烫伤样皮肤综合征,4-8周
女性假两性畸形,1-3个月
半椎体畸形,1-3个月
腺病毒性肺炎,15天
多动症,1-3年
伴齿状突骨折的寰枢椎前脱位,3-6周
向颈段脊髓供血的根动脉缺血症候群,1-3个月
伴纤维囊性骨炎的假性甲状旁腺功能低下症,1-2个月（治疗应终生维持）
向胸腰段脊髓供血的大根动脉缺血症候群,1-3个月
牙周脓肿,7-30天
鲍恩病,1-3个月
项痈,1-3周
颅脑损伤,15天-2月
鲍温样丘疹病,2个月
功能性胃肠病,7-30天
橡胶制品所致的皮肤病,1个月
暴发性痤疮,3-6月
颅内出血,7-30天
贝克痣,1—3周
女性癫痫,2-3年
疱疹样湿疹,3-6个月
儿童股骨头坏死,1-3个月
小肠过敏性紫癜,2-5周
背部弹力纤维瘤,1-3个月
睾丸囊肿,7-10天
鼻部穿通性毛囊炎,7-10天
小肠结肠炎耶尔森菌肠炎,1-3月
卵巢囊肿蒂扭转,7天
小肠结肠炎耶尔森菌肺炎,3-6周
鼻疽假单胞菌肺炎,3个月
睑内翻,7-10天
鼻旁窦支气管综合征,3-6个月
小肠类癌,3-6月
卵巢性不孕,7-30天
闭孔疝,2-4周
小肠平滑肌瘤,4-8周
小儿支气管炎,治疗周期7天
闭塞性动脉硬化,手术治疗周期7天
小肠平滑肌肉瘤,4-8周
全身化脓性感染,2-4周
麻痹性睑外翻,7-30天
闭塞性血栓性脉管炎,2-4周
小肠腺癌,1-6个月
耳结核,半年
闭锁肺综合征,3个月
小肠腺瘤,3个月
慢性粒单核细胞白血病,1-6个月
小肠血管畸形,8-12周
膝内翻,1-3个月
褥疮,3-6月，不能痊愈
臂丛神经损伤,2--8周
骨癌,3-6个月
变态反应性结膜炎,1-3个月
返流性胆管炎,7-30天
小肠血管瘤,4-8周
变形杆菌肺炎,1-3个月
马蹄形肾,1-3个月
小肠异物,4-6周
变性性近视的眼底损害,1-3个月
眼底出血,7-21天
小肠原发性恶性淋巴瘤,1-3个月
变异型心绞痛,需终身服药治疗
神经性皮炎,120天(终身间歇性治疗)
小肠脂肪瘤,7天
变异型预激综合征,3-6个月
瘙痒症,1-2周
放射性口炎,2-4周
小袋纤毛虫病,8-12周
变异性红斑角化病,1-3个月
小儿Alstrom综合征,2-4月或更长
输卵管性不孕,3个月
晒伤,1周
变应性皮肤血管炎,1-3个月
小儿IgA肾病,3-6个月
骨坏死,3个月
表皮囊肿,1个月
小儿X-连锁高免疫球蛋白M血症,终身治疗
表皮葡萄球菌肺炎,7-15天
小儿X-连锁淋巴组织增生性疾病,4-8月
手足癣,3-6个月
表皮松解性棘皮瘤,1-3个月
小儿X-连锁无丙种球蛋白血症,1-3个月
表皮痣,1-3个月
湿疹,3月
淋巴炎,1-3个月
小儿X-连锁严重联合免疫缺陷病,3-6个月
宾斯旺格病,1-3个月
深脓疱病,1-2个月
小儿α1-抗胰蛋白酶缺乏症,1-3个月
骨结核,9个月
髌股关节软骨损伤,1-2个月
色素性荨麻疹,7-14天
小儿α-地中海贫血,1-3月
非特异性外阴炎,7-30天
髌骨骨软骨病,2-4周
小儿β地中海贫血,1-3个月
丙酮酸激酶缺乏症,1--6个月
小儿阿姆斯特丹型侏儒,1-3年
并发截瘫的脊柱结核,2-3年
小儿阿托品类中毒,2-4周
并发症白内障,1-2个月
小儿埃博拉病毒病,1-2个月
病毒性出血热,3-8周
输卵管妊娠破裂,7-30天
秃头,1-2周
截瘫,终身治疗
小儿埃可及柯萨奇病毒感染,1-3个月
小儿埃莱尔-当洛综合征,1-3个月
病毒性食管炎,4-8周
骨筋膜室综合症,2-4周
玻璃体及视网膜脱离手术所致青光眼,1-3年
荨麻疹型药疹,2-4周
小儿爱德华兹综合征,终身间歇性治疗
荨麻疹和血管性水肿,1-2年
剥脱性唇炎,1-3个月
眼外伤,7-21天
播散性复发性漏斗部毛囊炎,2-4周
小儿鞍上生殖细胞瘤,3-6个月
荨麻疹性血管炎,1-3个月
脊椎炎,7-30天
播散性黄瘤伴尿崩症,10-30天
小儿巴德-吉亚利综合征,1--3个月
输卵管肿瘤,3个月
小儿巴特综合征,3-6个月
播散性嗜酸粒细胞增多性胶原病,10-30天
荨麻疹,2-6周
急性中耳炎,7-30天
播散性血管内凝血,7天
小儿白塞病,10-21天
银屑病,6-12周
勃起功能障碍,2-4周
冠状动脉供血不足,7-30天
小儿白细胞黏附分子缺陷Ⅰ型,3-6个月
不安腿综合征,1-2年
表皮样囊肿,3-6个月
小儿白细胞黏附分子缺陷Ⅱ型,终身间歇性治疗
不动杆菌肺炎,3-6周
过敏性结肠炎,30-60天
小儿白血病,6-8个月
药疹,2--3周
小儿半乳糖血症,3个月
外伤性股骨头坏死,1-3个月
疣,7-10天
小儿膀胱-输尿管反流综合征,2-4周
不动杆菌感染,2-4周
心肌缺血,1-2个月
小儿豹皮综合征,需要终身治疗
不动纤毛综合征,1个月
小儿贲门失弛缓症,1个月
不稳定型心绞痛,3-6月
输血后肝炎,1-3个月
小儿苯丙酮尿症,1-6个月
不稳定血红蛋白病,终身治疗
小儿便秘,2-4周
原发性皮肤淀粉样变性,2个月
红皮性银屑病,7-30天
布氏杆菌性关节炎,1-2个月
小儿变形性肌张力障碍,3-6个月
布氏菌病,至少六周
心包炎,1--3月
小儿变应性鼻炎,1-3月
喉痉挛,5--10天
布氏菌肺炎,3个月
痒疹,3-6周
药物过敏性口炎,2-4周
小儿变应性亚败血症综合征,3-6个月
步态异常,3-6个月
药物性耳聋,1个月
小儿丙酸血症,2-4周
硬红斑,7-14天
小儿丙型病毒性肝炎,3年
药物中毒,7-30天
脂溢性皮炎,3-6周
C5功能不全综合征,1-3个月
小儿病毒感染性口炎,10天
职业黑变病,30天
喉麻痹,两周
Castleman病,2-3月
小儿病毒相关吞噬血细胞综合征,1-4周
CD30阳性皮肤T细胞淋巴瘤,1-3个月
小儿病毒性心肌炎,4-8周
胰头癌,1-2个月
小儿病态窦房结综合征,1-2个月
Chance骨折,1-3个月
糖尿病型牙周炎,7-30天
中毒性坏死性表皮松解型药疹,4-6周
小儿波-杰综合征,2-4个月
着色芽生菌病和暗色丝孢霉病,2-4月
小儿播散性血管内凝血,根据不同情况，一般为1-3个月
CM1神经节苷脂贮积症,15-30天
喉水肿,4-8周
小儿播散性脂肪肉芽肿综合征,3-6个月
残胃平滑肌肉瘤,手术治疗周期7天
小细胞肺癌,6个周期
小儿伯-韦综合征,3--6个月
苍白球黑质红核色素变性,1-3个月
小儿不对称身材-矮小-性发育异常综合征,终身间歇性治疗
胰腺结核,1-3个月
茶毛虫皮炎,7-10天
小儿部分性肺静脉异位连接,3-6个月
腹股沟肉芽肿,1-3个月
臀肌挛缩症,1-3个月
产后精神病,3-6月
小儿肠病性肢端皮炎,1-3个月
遗传性肾炎,2-4周
产后泌尿道感染,15-30天
小儿肠套叠,1-3周
小儿胃肠炎,3-7天
产后虚脱,1-2个月
小儿肠吸收不良综合征,14天
原发性脑干损伤,7-30天
产后抑郁症,1-3个月
小儿肠系膜淋巴结结核,30天
喉狭窄,8-12周
产碱杆菌肺炎,3--5周
小儿肠旋转不良,3--8周
产科播散性血管内凝血,1-2周
小儿常染色体显性小脑性共济失调,终身间歇性对症治疗
躁狂抑郁症,1-3个月
梅毒,3个月
产科休克,1-3个月
小儿常染色体隐性小脑性共济失调,3个月
真菌性脑膜炎,2-4周
产力异常性难产,4-8周
小儿潮红综合征,2-4个月
网络成瘾,1-3个月
长骨骨干结核,12-24个月
小儿成骨不全,3-6月
长骨造釉细胞瘤,8-12周
小儿成人型慢性粒细胞白血病,1-2年
长膜壳绦虫病,1-2周
肠白塞病,3个月
小儿抽动症,30天
化脓性鼻窦炎,1-3个月
肠病性肢端皮炎,2-4月
小儿出血性疾病,7-21天
肠出血性大肠埃希杆菌感染,5天
小儿出血性休克和脑病综合征,2-4周
肠道病毒71型感染,1个月
性病性淋巴肉芽肿,1-3年
小儿触电与雷击,10天
肠道感染后反应性关节炎,1-2年
支气管结石症,1-3个月
小儿传染性单核细胞增多症,7-14天
肠道革兰阴性杆菌脑膜炎,2-4周
消化道溃疡,4-8周
小儿喘息样支气管炎,1-3年
肠道血管畸形,2-4月
阿尔采末病,1-2个月
肠毒性大肠埃希杆菌感染,3-5周
小儿纯红细胞再生障碍性贫血,3-6个月
侏儒症,1-3个月或更长甚或终身
