"diseaseID","disease_name","part","age","infect","insurance","department","checklist","treatment","drugs","period","rate","money"
1689,盆腔脓肿,盆腔 女性生殖,性活跃期女性多见,无传染性,医保疾病,妇科,妇科B超 盆腔充气造影 肛门指检 血沉 白细胞数 [详细],中医药物治疗 ,止痛化癥胶囊 金鸡颗粒 花红片,1个月,70%,nan
1690,先天性肥厚性幽门狭窄,胃,多见于婴儿出生后6个月内,无传染性,医保疾病,胃肠外科 儿科,内镜检查 胃超声检查 上消化道X线钡餐 腹部平片 [详细],药物治疗 手术治疗 ,先天性髋脱位矫 先天性耳聋基因 三腔喂养管,1-3个月,80%,nan
1691,新生儿发热,全身,新生儿多发,无传染性,非医保疾病,儿科,体温 胸部平片 胸部B超 脑电图 [详细],药物治疗 支持性治疗 ,复方小儿退热栓 小儿清热片,7-14天,95%以上,nan
1692,湿毒疮,下肢 皮肤,中年多见,无传染性,非医保疾病,中医科,nan,药物治疗 ,乌蛇止痒丸 珊瑚癣净 防风通圣丸,3个月,60%,nan
1693,大肠类癌,肠,30～40岁多发,无传染性,非医保疾病,肿瘤科 消化内科,乙状结肠镜检查 肛门指检 内镜检查 [详细],药物治疗、手术治疗 ,盐酸伊立替康注 注射用奥沙利铂 硫酸庆大霉素注,2-4月,60%,nan
1694,出血性疾病,血液血管 全身,所有人群,无传染性,非医保疾病,血液科 内科,血小板粘附功能 凝血酶原消耗纠正试验 比格凝血活酶生成时间 凝血酶时间 血小板聚集试验 [详细],病因治疗、药物治疗 ,升血小板胶囊 注射用酚磺乙胺 氨甲环酸片,1-3个月,60%,nan
1695,肺癌皮肤转移,肺 皮肤,中老年人、吸烟人群,无传染性,非医保疾病,肿瘤科,血清癌胚抗原 血清NSE [详细],化疗、放疗、生物疗法 ,康艾注射液 阿魏化痞膏,1-3年,40%,nan
1696,放射性肠炎,肠,放射治疗后多发,无传染性,医保疾病,消化内科 内科,直肠指检 乙状结肠镜检查 放射性核素肾图 [详细],饮食、药物、手术治疗 ,复方维生素B12 维U颠茄铝镁片 复方颠茄维B6片,7天,70%,nan
1697,小儿高热惊厥,其他,婴幼儿人群,无传染性,非医保疾病,儿科 神经内科,脑电图 [详细],药物治疗 ,减味紫雪口服液 瓜霜退热灵胶囊 羚黄宝儿丸,治疗周期7天,治愈率100%,nan
1698,自身免疫性胰腺炎,胰腺 免疫系统,多见于老年男性，大多﹥50岁,无传染性,非医保疾病,内分泌科,嗜酸性粒细胞数 血清免疫球蛋白G 抗核抗体 血清抗线粒体抗体 血清类风湿因子 [详细],药物治疗、手术治疗 ,>> 应该如何用药？用什么药？,3-6周,95%,市三甲医院约（1000-5000元）
1699,风搔痒,皮肤,好发于老年人及中年人,无传染性,非医保疾病,中医科,nan,饮食治疗 ,应该如何用药？用什么药？,1-3月,85%,nan
1700,多发脑梗塞性精神障碍,颅脑,多在中老年起病,无传染性,非医保疾病,精神病科 老年科,颅脑MRI 磁共振血管造影 脑电图 脑脊液钙调蛋白 血液检查 [详细],暂无,血栓心脉宁片 人参再造丸 脑血康滴丸,nan,暂无相关资料,暂无相关资料
1701,蹼状阴茎,阴茎,多是先天性畸形,无传染性,非医保疾病,男科 生殖健康,前列腺B超 [详细],手术治疗 ,应该如何用药？用什么药？,1-2年，部分病例需多次矫正,外科手术治愈率约为65%,nan
1702,直肠膨出,肠,顺产的妇女及老年多见,无传染性,非医保疾病,消化内科 肛肠外科,直肠指检 阴道触诊 排粪造影 [详细],手术治疗 ,云南白药痔疮膏,2-5个月,外科手术治愈率约55-75%,nan
1703,挤压综合征,全身,外伤压伤多见,无传染性,医保疾病,急诊科 外科,出血时间 凝血时间 血液电解质 血小板凝集功能试验 尿谷草转氨酶 [详细],手术治疗 ,碳酸氢钠 甲钴胺分散片,90天,99%,nan
1704,儿童急性良性肌炎,肌肉,儿童,无传染性,非医保疾病,儿科 内科,肌红蛋白 肌肉活检 血清肌酸激酶 [详细],手术治疗、对症治疗 ,利巴韦林喷剂 小儿解表颗粒 百咳静糖浆(低,1-3个月,70%,nan
1705,化脓性汗腺炎,皮肤,肥胖人群尤其是女性20-40岁多发生于青年和中年妇女,无传染性,医保疾病,皮肤科,皮肤涂片显微镜检查 细菌学检验 皮肤真菌镜检 [详细],皮下脓肿、蜂窝组织炎 ,乙酰麦迪霉素干 氯霉素胶囊 交沙霉素片,1-3个月,60%,nan
1706,膀胱与尿道结石,膀胱 尿道,中老年人,无传染性,非医保疾病,泌尿外科,尿常规 肾功能 肾脏B超 肾脏MRI 肾脏CT [详细],手术治疗 ,尿石通丸 金钱草胶囊 复方石淋通片,nan,80%,市三甲医院约（8000-10000元）
1707,播散型淋病,全身,多见于妇女，性活跃人群多发,有传染性,非医保疾病,性病科,淋菌培养 [详细],未知,>> 应该如何用药？用什么药？,nan,nan,nan
1708,老年人泌尿系统感染,肾 输尿管,老年人对年龄增长发病率增加,无传染性,非医保疾病,老年科 泌尿外科,溶菌酶 尿液细胞学检查 尿色 尿液透明度 [详细],西医药物治疗 ,盐酸左氧氟沙星 乳酸左氧氟沙星 氨苄西林胶囊,7--10天,80%,市三甲医院约（2000-4000元）
1709,老年急性阑尾炎,阑尾,老年患者,无传染性,非医保疾病,消化内科 外科,十二指肠钡餐造影 [详细],手术治疗、药物治疗 ,阑尾消炎片,7~15天,98%,nan
1710,小儿过敏性紫瘢,皮肤 肾,学龄期儿童发病者多,无传染性,非医保疾病,内科 儿科,嗜酸性粒细胞数 WBC 血小板计数 凝血时间 出血时间 [详细],药物治疗 ,转移因子胶囊,4-12周,70-80%,nan
1711,宫颈妊娠,子宫 盆腔,中青年孕妇,无传染性,非医保疾病,产科,妇科B超 周围血白细胞计数及分类 全血细胞计数 宫颈检查 宫颈妇科常规检查 [详细],药物治疗 ,米索前列醇片 产复康颗粒 桂枝茯苓胶囊,30天,95%,nan
1712,恶性胸腔积液,胸部,肿瘤患者多发,无传染性,非医保疾病,心胸外科 呼吸内科,胸腔积液肿瘤细胞学检查 胸部CT 胸部B超 胸腔镜 [详细],药物治疗、手术治疗 ,氟尿嘧啶 盐酸四环素胶囊 盐酸四环素片,2-4月,30%,nan
1713,阴囊癌,阴囊,多见于50～70岁,无传染性,非医保疾病,泌尿外科 肿瘤科,阴囊检查 阴囊显象 [详细],手术治疗、药物治疗 ,注射用盐酸米托 甲氨蝶呤片,>120天,0.10%,nan
1714,急性胆源性胰腺炎,胰腺,所有人群,无传染性,非医保疾病,肝胆外科 胃肠外科,口服法胆道造影 腹部平片 腹部CT WBC 二氧化碳结合力 [详细],中西医结合治疗 ,头孢地尼分散片 头孢呋辛酯颗粒,3--8周,80%,nan
1715,眼睑丹毒,眼,无特发人群,无传染性,非医保疾病,眼科,nan,中医药物治疗 ,应该如何用药？用什么药？,10--21天,40--50%,nan
1716,急性应激反应,颅脑,多见于青壮年,无传染性,医保疾病,精神病科,心电图 [详细],中医药物治疗、西医药物治疗 ,盐酸甲氯芬酯胶 消栓通络片 消栓通络胶囊,治疗周期15天,治愈率86%,nan
1717,输卵管结核,输卵管,既往有结核病史的女性患者多见，多发生于20～40岁的妇女,有传染性,医保疾病,生殖健康 妇科,X线碘油造影 腹部平片 结核菌素皮内试验 子宫内膜活检 [详细],手术治疗、抗结核治疗 ,异烟肼片 对氨基水杨酸钠 盐酸乙胺丁醇片,2-3年,外科手术治愈率约为70%,市三甲医院约（5000 —— 10000元）;
1718,带状疱疹病毒性巩膜炎,眼,免疫抑制患者多发,无传染性,非医保疾病,眼科 传染科,巩膜检查法 涂片 角膜荧光素染色 免疫电泳 [详细],药物治疗 ,泛昔洛韦片 盐酸伐昔洛韦片 氟米龙滴眼液,7天,30%,nan
1719,垂体性侏儒症,颅脑 全身,儿童,无传染性,非医保疾病,内分泌科,胰岛素低血糖兴奋GH、ACTH试验 生长激素激发试验 血清生长激素 [详细],激素替代治疗 ,注射用重组人生,>90天,5%,nan
1720,膀胱脱垂,膀胱,有难产或尿道、阴道损伤史的妇女多见,无传染性,非医保疾病,泌尿外科,膀胱注水试验 膀胱镜 [详细],手法复位、手术治疗 ,荡石胶囊 血尿胶囊 盆底补片修复系,3个月,50%,nan
1721,肠系膜淋巴结结核,肠,多发生于儿童,有传染性,医保疾病,传染科 消化内科,腹部平片 白细胞数 十二指肠钡餐造影 结核杆菌检查 腹部CT 胃钡餐造影 正电子发射计算机断层扫描 [详细],药物治疗 ,利福平片 异烟肼片 甲泼尼龙片,3个月,60%,不同医院收费标准不一致，市三甲医院约（3000 —— 5000元）;
1722,肱骨髁上骨折,上肢骨,以小儿最多见，多发年龄为5～12岁,无传染性,医保疾病,骨科,肘后三角检查 普通透视检查 一般摄片检查 [详细],保守治疗、手术治疗 ,骨康胶囊 盐酸曲马多缓释 骨折挫伤胶囊,10-30天,90%,nan
1723,声带小结,口,多见于教师及歌唱演员，以女性较多,无传染性,非医保疾病,耳鼻喉科,nan,药物治疗 ,金嗓散结丸 金嗓散结胶囊 喉舒宁胶囊,14天,93%,nan
1724,感染性肋软骨炎,肋骨,多发于25～35岁成年人，女性居多,无传染性,非医保疾病,心胸外科 骨科,胸部平片 胸透 胸部CT [详细],手术治疗 ,复方独活吲哚美 片仔癀胶囊 十三味红花丸,1-7天,20%,nan
1725,乳房单纯囊肿,乳房,女性，主要是育龄期妇女 、 18～25 岁,无传染性,非医保疾病,妇科 乳腺外科,乳腺B超 真菌组织病理学 钼靶X线检查 [详细],药物治疗、手术治疗 ,消肿片 乳癖散结胶囊 小金丸,2-4月,90%,nan
1726,胸壁结核,胸部,20-40岁的青、中年人，男性较多,有传染性,医保疾病,心胸外科 呼吸内科,胸腔镜 [详细],药物、手术治疗 ,帕司烟肼胶囊 异烟肼片 利福喷丁胶囊,2-4个月,70%,不同医院收费标准不一致，市三甲医院约（9000 ——10000元）;
1727,脐带脱垂,子宫,胎儿期及婴幼儿期,无传染性,医保疾病,产科 妇产科,便常规 尿常规 大生化检查 心电图 多普勒超声心动图 [详细],手术治疗、牵引治疗 ,妇康丸 盐酸利托君注射,2-3月,85%,nan
1728,红细胞增多症,血液血管,成年人,无传染性,医保疾病,血液科,骨髓象分析 维生素B12 血浆正铁血红蛋白 红细胞膜磷脂 循环血浆量 [详细],药物 ,大黄庶虫丸 心脑欣丸 心脑欣片,nan,80%,nan
1729,肌张力异常,肌肉,儿童型（12岁以前）、少年型（13～20岁）和成人型（20岁以后）,无传染性,非医保疾病,神经内科,腰背痛体格检查 肌张力 颅脑CT 肌电图 反击征 [详细],中医药物治疗、西医药物治疗 ,十一味参芪片 注射用维库溴铵,3-6个月,85%(多见于颅脑外伤者),nan
1730,鼻疖,鼻,抵抗力弱及糖尿病多发,无传染性,医保疾病,耳鼻喉科,鼻腔内镜 [详细],药物、手术治疗 ,龙珠软膏 普卢利沙星片 蒲公英片,1-3个月,80%,nan
1731,甲状舌管囊肿,颈部,以30岁以下青少年为多见,无传染性,医保疾病,口腔科,颈椎CT X线碘油造影 [详细],药物治疗 ,消癌平口服液 消癌平片 消癌平胶囊,3--6周,50%,nan
1732,疱疹样皮炎,皮肤,多发生于22～55岁,无传染性,医保疾病,皮肤科,真菌组织病理学 皮损 [详细],药物治疗、中医治疗 ,盐酸吗啉胍片 利巴韦林片 利巴韦林片,1-2个月,85%,nan
1733,多发性大动脉炎,血液血管,30岁以下的年轻女性,无传染性,医保疾病,血管外科,脑血流显像 脑血流图 血管造影 肾素活性 MRI [详细],药物治疗、手术治疗 ,维生素E烟酸酯 复方三维亚油酸 心脑康胶囊,10-20天,40%,nan
1734,阴沟肠杆菌感染,颅脑,老年患者或新生儿多发,无传染性,非医保疾病,呼吸内科 消化内科,血液及骨髓细菌培养 直接涂片检查 特殊细菌涂片 尿常规 明胶液化试验 [详细],药物治疗 ,头孢氨苄甲氧苄 头孢克肟胶囊 复方磺胺甲噁唑,4-8周,60-75%,nan
1735,肺炎衣原体感染,肺 咽喉,成人及青少年,有传染性,非医保疾病,呼吸内科 传染科,补体结合试验 结核杆菌基因检测 胸部平片 [详细],药物治疗 ,罗红霉素片 硬脂酸红霉素颗 红霉素肠溶片,7-15天,一般经过抗生素治疗后99%可以治疗治愈,市三甲医院约（5000 —— 8000元）;
1736,老年人帕金森病,颅脑,老年人,无传染性,非医保疾病,神经内科 老年科,脑脊液检查-化学检查-蛋白质检查 颅脑CT 颅脑MRI [详细],药物治疗 ,盐酸司来吉兰片 盐酸金刚烷胺片 氢溴酸苯甲托品,nan,10%,市三甲医院约（3000 —— 8000元）
1737,视网膜中央静脉阻塞,眼,中老年人群,无传染性,非医保疾病,眼科 中医科,眼底荧光血管造影 血压测量 眼科检查 血管造影 [详细],药物治疗、中药治疗 ,羟苯磺酸钙胶囊 复方樟柳碱注射 尿激酶,14--21天,50--60%,nan
1738,复发性卵巢恶性肿瘤,卵巢,女性人群,无传染性,非医保疾病,妇科 肿瘤科,肿瘤标志物 MRI 血清α1-酸性糖蛋白 [详细],手术治疗、药物治疗 ,重组人干扰素α 醋酸甲地孕酮分 注射用氨磷汀,5-8月,40%,nan
1739,喉返神经损伤,颈部 周围神经系统,颈部外伤或者手术,无传染性,医保疾病,神经内科,耳鼻咽喉CT 颈部MRI [详细],药物治疗，手术治疗 ,青霉素V钾片 小儿咽扁颗粒 罗红霉素分散片,1个月,60%,根据不同的医院，收费标准不一致，市三甲医院约（10000-20000元）
1740,前列腺脓肿,前列腺,常为40～60岁,无传染性,医保疾病,男科 泌尿外科,直肠指检 尿常规 CT平扫 前列腺液颜色 精液和前列腺液检查 [详细],保守治疗、手术治疗 ,前列腺保护素 前列通胶囊 前列舒乐胶囊,治疗周期21天,治愈率84%,nan
1741,胸痹心痛,胸部,中老年人,无传染性,非医保疾病,中医科 心血管内科,心电图 动态心电图 白细胞数 [详细],中医药物治疗、西医药物治疗 ,速效救心丸 苏合香丸 冠心苏合丸,20天,85%,市三甲医院约（5000 —— 10000元）
1742,药物性牙龈增生,口,多为青少年及儿童,无传染性,非医保疾病,口腔科,暂无相关资料,中医药物治疗、西医药物治疗 ,甲硝唑芬布芬胶,4-6周,60%,不同医院收费标准不一致，市三甲医院约（500 —— 1000元）
1743,胃泌素瘤,胃,30～50岁之间,无传染性,医保疾病,肿瘤科 消化内科,气钡双对比造影 上消化道X线钡餐 最大胃酸分泌量 胃基础胃酸分泌量 血清胃泌素 [详细],药物治疗、手术治疗 ,西咪替丁片 奥美拉唑肠溶胶 奥美拉唑镁肠溶,8-12周,外科手术治愈率约为70%,nan
1744,多重肺部感染,肺,无特殊发病群体,无传染性,非医保疾病,呼吸内科 心胸外科,痰液细菌培养 [详细],药物治疗 ,氨苄西林胶囊 乳酸左氧氟沙星 头孢羟氨苄片,1--30天,10%,nan
1745,新生儿生理性黄疸,血液血管 皮肤,新生儿,无传染性,医保疾病,儿科 消化内科,尿胆红素 粪胆红素 黄疸检查 [详细],药物治疗 ,黄柏胶囊 人血白蛋白 黄疸茵陈颗粒,7-14天,98%,nan
1746,铊中毒,全身,成年人,无传染性,非医保疾病,急诊科,心电图 动态心电图 肾功能 神经系统检查 眼底检查 [详细],药物治疗 ,注射用鼠神经生 注射用鼠神经生 多烯磷脂酰胆碱,1--6个月,10%,nan
1747,老年人甲状腺癌,甲状腺,老年人群,无传染性,非医保疾病,普外科 肿瘤科,ECT MRI 甲状腺放射性核素显像 血清EB病毒壳抗原IgA抗体 [详细],手术治疗、放射治疗、西药治疗、化疗 ,左甲状腺素钠片 羟基脲片 甲氨蝶呤片,1--6个月,5--10%,nan
1748,前十字韧带损伤,膝部 关节,青壮年，运动员多发,无传染性,非医保疾病,骨科 急诊科,MRI 关节镜 抽屉试验 莱切曼试验 侧方应力试验 [详细],药物治疗、手术治疗 ,双氯芬酸二乙胺 散寒活络丸 双氯芬酸钾凝胶,nan,92%,nan
1749,痰火,全身,中年人群,无传染性,非医保疾病,中医科 呼吸内科,nan,药物治疗 ,牛黄降压片 鼻咽灵片 小儿白贝止咳糖,1个月,80%,nan
1750,糖尿病性周围神经病,周围神经系统 胰腺,糖尿病患者,无传染性,医保疾病,神经内科 内分泌科,肌电图 葡萄糖耐量试验 肝功能 肾功能 血沉方程K值 [详细],药物治疗、中药治疗 ,普瑞巴林胶囊 甲钴胺片 参芪降糖胶囊,>120天(大部分需要终身治疗),20-30%,市三甲医院约10000--50000
1751,维生素E缺乏病,全身,主要发生在婴儿，特别是早产儿,无传染性,非医保疾病,内科 儿科,血液生化六项 心电图 维生素E [详细],药物治疗 ,口服五维葡萄糖 维生素B2片 维生素AD滴剂,1-2个月,60%,nan
1752,多系统萎缩,颅脑,成年期发病50～60岁发病多见,无传染性,非医保疾病,神经内科,颅脑MRI 头颅平片 血液生化六项 脑电图 脑脊液的化学检查 [详细],药物治疗 ,盐酸米多君 维生素E 吲哚美辛胶囊,1-3个月,40%,市三甲医院约（10000-30000元）
1753,化脓性关节炎,关节,好发于儿童、老年体弱和慢性关节病患者，男性居多,无传染性,医保疾病,骨科 中西医结合科,WBC 中性粒细胞计数 血沉 涂片 关节腔液检查 [详细],中医理疗、药物治疗 ,硫酸氨基葡萄糖 雪山金罗汉止痛 风痛安胶囊,10-30天,80%,不同医院收费标准不一致，市三甲医院约（3000 —— 8000元）
1754,淤积性皮炎,皮肤,长期从事站立工作者、重体力劳动者,无传染性,医保疾病,皮肤科,血液电解质 皮肤涂片显微镜检查 [详细],西医药物治疗 ,克霉唑倍他米松 复方鱼肝油氧化,3-6个月,60%,市三甲医院约（5000-10000元）
1755,枯草热,鼻 全身,过敏体质者多发,无传染性,非医保疾病,耳鼻喉科 五官科,皮肤试验 鼻粘膜及鼻腔分泌物 [详细],脱敏治疗、药物治疗 ,鼻炎康片 丙酸氟替卡松鼻 盐酸氯环利嗪片,1-2个月,75%,nan
1756,老年大便失禁,肛门 全身,中老年人群常见,无传染性,非医保疾病,肛肠外科 老年科,直肠镜 电子肠镜 肠镜 十二指肠钡餐造影 腹部平片 [详细],药物治疗 ,泻停封胶囊 止泻颗粒 痢泻灵片,治疗周期30天,治愈率71%,市三甲医院约（1000 —— 5000元）
1757,乳房结核,乳房,多发生于20～40岁妇女,有传染性,医保疾病,乳腺外科 传染科,MRI 近红外线乳腺扫描 乳腺B超 乳房检查 [详细],药物治疗、支持治疗、手术治疗 ,止痛化癥胶囊 利福平胶囊 异烟肼片,治疗周期9个月,治愈率89%,市三甲医院约（5000 —— 10000元）
1758,精囊结石,男性生殖,中青年人群,无传染性,非医保疾病,男科,男性生殖系X线检查 前列腺、精囊腺的超声检查 [详细],静止或症状不明显的精囊结石无须治疗、有感染和梗阻者应控制感染、解除梗阻 ,盐酸左氧氟沙星 盐酸米诺环素胶,7-10天,30%,市三甲医院约（3000 —— 5000元）
1759,原发性血小板减少性紫癜,皮肤 血液血管,急性型10岁以下儿童多发。慢性型占ITP的80%，多为20～50岁,无传染性,医保疾病,血液科,WBC 凝血酶原时间 凝血酶时间 血小板寿命 骨髓象分析 [详细],药物治疗 中医治疗 支持治疗 ,肾上腺色腙片 氨肽素片 归参补血片,30天,80%,市三甲医院约（5000-10000元）
1760,舌白斑,口,一般好发于40岁以上者,无传染性,医保疾病,口腔科,口腔内窥镜 [详细],药物治疗、物理治疗、手术治疗 ,维生素A软胶囊 盐酸氯丙嗪片 维A酸乳膏,1-3月,85%,nan
1761,原发性癫痫,颅脑,多见于儿童及青少年,无传染性,医保疾病,神经内科 脑外科,神经系统检查 脑电图 MRI 头颅正侧位片 [详细],未知,普瑞巴林胶囊 奥卡西平片 左乙拉西坦片,nan,暂无相关资料,nan
1762,阿司匹林诱发哮喘,肺 气管,部分服用阿司匹林患者，好发于中年女性,无传染性,非医保疾病,呼吸内科 急诊科,支气管肺泡灌洗术 [详细],药物治疗、支持疗法 ,丙酸倍氯米松气 布地奈德气雾剂 沙丁胺醇气雾剂,1-7天,80%,市三甲医院约（5000 —— 8000元）
1763,小儿过敏性鼻炎,鼻,2～6岁的学龄前儿童多发,无传染性,非医保疾病,儿科 耳鼻喉科,鼻粘膜及鼻腔分泌物 鼻腔内镜 鼻内激发试验 直接涂片检查 血清免疫球蛋白E [详细],物理治疗 药物治疗 支持治疗 ,诺氟沙星胶囊 小儿胃宝丸 小儿退热合剂,1-3月,75%,nan
1764,踝关节软骨损伤,足部 关节,多见于足球运动员,无传染性,非医保疾病,骨科,骨关节及软组织CT 骨与关节MRI 跟骨叩击试验 [详细],中药、西药、手术治疗 ,跌打丸 三七伤药片 伤科跌打片,14天,90%,nan
1765,中耳癌,耳,好发年龄为40～60岁,无传染性,医保疾病,肿瘤科 耳鼻喉科,nan,药物、手术、放射治疗 ,平消胶囊 西黄丸 平消片,3-6月,本病发生率较低，一把无法完全治愈，一般5,nan
1766,外阴神经性皮炎,外阴 皮肤,老年和绝经后妇女,无传染性,医保疾病,妇科 皮肤科,白带常规 真菌组织病理学 [详细],物理治疗、药物治疗、 ,止痛化癥胶囊 诺氟沙星片 鱼石脂软膏,1-3周,80%,市三甲医院约（500-1000元）
1767,聚合性痤疮,皮肤,好发于青年男性,无传染性,非医保疾病,皮肤科,真菌组织病理学 浆细胞 [详细],中医药物治疗、西医药物治疗 ,维胺酯维E乳膏 维生素B6软膏 丹参酮胶囊,7--14天,50--70%,nan
1768,壶腹周围癌,胆 胰腺,40～70岁男性,无传染性,非医保疾病,肿瘤科 肝胆外科,十二指肠引流液一般性状 胃钡餐造影 十二指肠钡餐造影 MRI 皮肝穿刺胆管造影 [详细],手术治疗 ,抗癌平丸 鸦胆子油软胶囊 替加氟胶囊,1-3个月,30%,nan
1769,颅内海绵状血管瘤,颅脑,所有人群,无传染性,非医保疾病,脑外科,颅脑CT 头颅平片 颅脑MRI 正电子发射计算机断层扫描 [详细],药物治疗、手术治疗 ,注射用盐酸尼莫,10天,10%,nan
1770,白血病性咽峡炎,咽喉,有白血病者,无传染性,医保疾病,耳鼻喉科 血液科,骨髓显像 [详细],药物治疗、支持疗法、心理治疗 ,头孢氨苄片 地红霉素肠溶胶 青霉素V钾片,15天,10%,nan
1771,甲状腺相关眼病,眼 甲状腺,中青年多见,无传染性,非医保疾病,眼科 内分泌科,血清促甲状腺激素 血清T3T4抗体 血清抗甲状腺抗体 CT造影扫描 MRI [详细],药物治疗 ,抑亢丸 抑亢散,nan,95%,市三甲医院约（3000—— 5000元）
1772,小儿轮状病毒性肠炎,肠,婴幼儿,有传染性,非医保疾病,儿科 消化内科,粪细菌培养 心电图 [详细],药物治疗 ,苍苓止泻口服液 小儿石蔻散 复合乳酸菌胶囊,一般7-15天可以治愈,经过治疗后99%容易痊愈。,市三甲医院约（2000 —— 5000元）;
1773,外阴色素痣,外阴 皮肤,女性,无传染性,非医保疾病,妇科,肿瘤标志物 外阴部妇科常规检查 [详细],手术治疗 ,细胞色素C注射 注射用红花黄色 红花黄色素氯化,一般2-3天,一般不需要治疗，如果需要治疗100%可以治愈,nan
1774,小脑扁桃体下疝,颅脑,婴幼儿,无传染性,医保疾病,脑外科,颅脑MRI 颅脑CT [详细],未知,食道平散 根痛平颗粒 心荣口服液,nan,暂无相关资料,nan
1775,小儿腹胀,肠,所有儿童、婴儿,无传染性,非医保疾病,儿科 消化内科,腹部平片 腹部CT 上消化道造影 上消化道X线钡餐 下消化道摄影检查 [详细],药物治疗、饮食调节 ,多潘立酮分散片 一捻金 联苯双酯片,3~5天,100%,nan
1776,颈部囊状淋巴管瘤,颈部 淋巴,先天性疾病，多在2岁以内发现,无传染性,医保疾病,肿瘤科,颈部MRI 颈部活动度 血液检查 [详细],药物治疗、手术治疗 ,转移因子口服溶 依托泊苷软胶囊 复方环磷酰胺片,3个月,40%,nan
1777,小儿高血压,血液血管,儿童原发性高血压多见于青少年,无传染性,非医保疾病,心血管内科 儿科,多普勒小儿血压检测 肾功能 尿常规 血浆促甲状腺激素释放激素 脑脊液检查-化学检查-蛋白质检查 [详细],手术治疗 ,苯磺酸氨氯地平 奥美沙坦酯片 呋塞米片,14--21天,60%,nan
1778,先天性梅毒,全身,多发生在2岁以后,无传染性,医保疾病,儿科 传染科,梅毒血清试验 荧光法密螺旋体抗体吸附试验 梅毒螺旋体抗原血清试验 梅毒确诊试验 [详细],药物治疗 支持治疗 ,注射用青霉素钠 依托红霉素片 青霉素V钾胶囊,1-3月,43%,nan
1779,淋巴管瘤,淋巴,儿童发病多见,无传染性,医保疾病,肿瘤科,MRI 上消化道X线钡餐 上消化道内窥镜 腹腔镜 [详细],药物、手术治疗 ,复方斑蝥胶囊 六甲蜜胺胶囊 复方环磷酰胺片,1-3月,85%,nan
1780,额叶癫痫,颅脑,有遗传因素，家族亲属有此病者多发。,无传染性,非医保疾病,神经内科 脑外科,脑电图 MRI 两点辨别感觉 [详细],手术治疗 ,牛黄清心丸(局 癫痫宁片 普瑞巴林胶囊,6-24个月,30%,市三甲医院约（5000-10000元）
1781,灼痛,皮肤,中老年多见,无传染性,医保疾病,神经内科 普外科,直肠指检 内镜检查 [详细],中医药物治疗、西医药物治疗 ,普瑞巴林胶囊 对乙酰氨基酚片 痔根断片,2-4周,50%,nan
1782,口周湿疹,口,婴儿期,无传染性,非医保疾病,口腔科 儿科,暂无相关资料,药物治疗 ,硫酸奈替米星注,7-14天,96%,根据不同的医院，收费价格是不一样的，市三级甲等医院约（500-1000元）
1783,急性女阴溃疡,皮肤 外阴,多发于年轻妇女及幼女,有传染性,非医保疾病,皮肤科,真菌组织病理学 [详细],西药治疗、中药治疗、局部治疗 ,京万红软膏 康复新液 妇宁栓,5-7周,100%治愈率,市三甲医院约3000--6000元;
1784,黄色瘤,皮肤,常见于3～5岁的男性儿童,无传染性,医保疾病,皮肤科,血脂 肝功能 肾功能 脂蛋白电泳 血清蛋白电泳 [详细],中医药物治疗、西医药物治疗、局部治疗 ,注射用硫酸长春 注射用硫酸长春 复方樟脑乳膏,2-4月,85%,nan
1785,肠瘘,肠,手术这多发,无传染性,医保疾病,胃肠外科,腹部平片 腹部CT 十二指肠钡餐造影 结肠造影 小肠造影 [详细],药物治疗、手术治疗 ,注射用生长抑素 肠内营养乳剂(T 生长抑素,30天,70%,nan
1786,乳痈,乳房,发于产后尚未满月的哺乳妇女，初产妇多发,无传染性,非医保疾病,中医科 产科,nan,中医药物治疗、局部治疗、饮食治疗 ,乳癖消片 夏枯草膏 乳癖消片,7-14天,90%,nan
1787,母儿ABO血型不合,血液血管,新生儿多见,无传染性,非医保疾病,产科 血液科,产科B超 羊水检查 血凝试验 [详细],药物治疗 支持性治疗 ,硫唑嘌呤片 维生素E软胶囊 维生素E软胶囊,3-6个月,95%,nan
1788,巨大肥厚性胃炎,胃,中老年及儿童多见,无传染性,非医保疾病,消化内科,胃超声检查 [详细],药物治疗 ,心胃止痛胶囊 胃灵颗粒 舒肝健胃丸,终身间歇性治疗,对症治疗为主，无法根治,nan
1789,闭经性头痛,颅脑,中青年女性在月经前后多发,无传染性,非医保疾病,妇科 中医科,黄体酮试验 [详细],药物治疗 ,应该如何用药？用什么药？,1个月,50%,nan
1790,肛周肿瘤,肛门,同性恋和双性恋人群多发,无传染性,非医保疾病,肿瘤科 肛肠外科,CT平扫 CT造影增强扫描 血清癌胚抗原 [详细],手术治疗、放化疗 ,应该如何用药？用什么药？,手术治疗周期14天,治愈率43%,nan
1791,鼻咽癌的眼部病变,眼 鼻,30～50岁男性,无传染性,非医保疾病,肿瘤科 眼科,血清EB病毒抗体 血清EB病毒壳抗原IgA抗体 鼻咽部活组织检查 耳鼻咽喉CT 颅底片 [详细],手术治疗、药物治疗 ,甘露聚糖肽片 注射用氨磷汀 注射用盐酸平阳,nan,48%-58%,市三甲医院约2-4万元
